GEOID,B02001_003E,B02001_001E,SUMLEVEL,ST,COUNTY,B19080_001E,B19080_002E,B19080_003E,B19080_004E,B19080_005E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B19013_001E,B01003_001E,COMPONENT,B19083_001E
05000US01001,8854,49584,050,01,001,23573,41628,63345,93565,147270,12640,32588,51697,77072,140932,219729,51463,49584,00,0.41
05000US01003,17028,171997,050,01,003,22922,39663,60151,93458,163553,13830,31091,49260,75141,156133,267704,48918,171997,00,0.437
05000US01005,13742,29663,050,01,005,10044,23287,39890,61251,107682,5461,16304,31878,50338,101011,165709,32537,29663,00,0.471
05000US01007,4953,21464,050,01,007,18589,32132,51615,74715,125930,10955,25546,41642,61599,108613,150265,41236,21464,00,0.395
05000US01009,547,56804,050,01,009,18982,36305,54644,81385,130240,11234,27252,45485,66141,125028,194894,45406,56804,00,0.414
05000US01011,8193,10917,050,01,011,9011,19539,34255,66116,119799,6047,14255,26851,46444,124448,242153,26209,10917,00,0.54
05000US01013,8328,20189,050,01,013,12158,24090,39114,64177,112461,6952,18189,31468,50348,100472,157123,31938,20189,00,0.452
05000US01015,22155,112969,050,01,015,14895,30388,48653,77060,129720,8281,22440,38786,61416,123231,199708,38382,112969,00,0.454
05000US01017,12947,34704,050,01,017,14498,25933,40559,65171,104262,8589,20111,33012,51510,95106,138534,32433,34704,00,0.418
05000US01019,1373,24427,050,01,019,16043,30303,48442,75644,118963,9407,22881,39432,60354,109669,167979,40240,24427,00,0.42
05000US01021,4532,42272,050,01,021,16152,30513,48308,76793,130327,8688,23226,39229,60778,123086,201391,38966,42272,00,0.449
05000US01023,6195,14229,050,01,023,13258,23367,37577,61036,97813,7666,17318,30649,48622,92452,140836,30749,14229,00,0.436
05000US01025,11038,26438,050,01,025,10334,21255,36246,70829,126847,5745,15721,27690,51845,122667,202936,27080,26438,00,0.518
05000US01027,2014,13769,050,01,027,16704,29190,43492,70264,105633,9842,22697,36570,55243,95194,133218,37652,13769,00,0.393
05000US01029,781,14579,050,01,029,14043,27130,41068,70807,114732,8615,20302,33938,56941,114034,198422,33742,14579,00,0.456
05000US01031,8475,46802,050,01,031,17080,32878,53335,83604,142797,9879,25167,42282,67514,134303,217604,41973,46802,00,0.448
05000US01033,8714,54546,050,01,033,15959,31407,49960,79794,125974,9542,23333,39627,62575,119096,187254,39366,54546,00,0.435
05000US01035,5808,13114,050,01,035,11368,20379,34447,65907,105588,6013,15412,26817,48647,110095,193924,27216,13114,00,0.504
05000US01037,3505,10777,050,01,037,13460,27043,43318,73546,112150,7868,20700,34294,54669,108278,174163,33595,10777,00,0.447
05000US01039,4586,36688,050,01,039,14148,25861,43485,69143,122495,8202,19945,34029,55056,112410,186906,33278,36688,00,0.457
05000US01041,2968,13687,050,01,041,11524,23650,40314,68764,126393,6790,17436,31173,52308,121339,226318,31058,13687,00,0.5
05000US01043,977,80630,050,01,043,15795,29983,49143,74964,130638,8990,22927,38941,60462,123924,203790,38394,80630,00,0.45
05000US01045,9827,48233,050,01,045,17438,33159,50206,76853,122559,10150,25218,41899,62173,120798,197221,42225,48233,00,0.427
05000US01047,28591,42748,050,01,047,9704,19762,34374,63458,111791,5549,14303,26491,46919,107921,182478,26442,42748,00,0.508
05000US01049,1047,68183,050,01,049,14796,25954,42170,66307,118378,8523,20347,33841,52782,113413,200268,33634,68183,00,0.458
05000US01051,16469,76714,050,01,051,23401,42148,62958,92676,148843,12749,32232,52465,76772,139063,208695,52971,76714,00,0.405
05000US01053,11820,37561,050,01,053,12962,25127,41644,65189,109923,6568,18861,32894,52704,107326,175305,32321,37561,00,0.463
05000US01055,15094,103150,050,01,055,16171,29352,45089,74787,124749,9327,22451,36613,58605,117090,183101,36378,103150,00,0.442
05000US01057,1999,17651,050,01,057,13665,29451,43743,64151,108793,8269,21098,35653,51857,97337,144652,35754,17651,00,0.415
05000US01059,1205,30847,050,01,059,13899,26210,42759,67453,115460,8413,20377,34011,53457,108666,183036,33380,30847,00,0.447
05000US01061,2680,25800,050,01,061,13087,23931,38918,63602,102342,7316,18567,31263,50712,102845,170325,31055,25800,00,0.457
05000US01063,7167,9112,050,01,063,8649,18970,35460,55526,97609,4996,14308,24006,44849,85930,133222,22352,9112,00,0.471
05000US01065,10562,17994,050,01,065,11018,22021,37580,61564,99903,5957,16129,29845,48412,90253,132092,29841,17994,00,0.447
05000US01067,5073,16580,050,01,067,12645,28233,44080,77111,112436,8144,19407,36066,57451,108191,152287,35792,16580,00,0.44
05000US01069,24509,97091,050,01,069,16991,31661,52116,84009,147503,9822,24078,41394,66587,143300,250282,41096,97091,00,0.469
