havenot2	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips
0	0.3710937798023224	0.375	0.28947797417640686	0.1295429915189743	0.7922077775001526	0.01789623498916626	0.8333333134651184	83	1	1	1	0	0.75	0.75	0.20000000298023224	1003
0	0.3710937798023224	0.25	0.28947797417640686	0.1295429915189743	0.7922077775001526	0.01789623498916626	0.3333333432674408	56	1	1	1	0	0.5	0.5	0.20000000298023224	1003
1	0.3710937798023224	0.20577791333198547	0.28947797417640686	0.1295429915189743	0.7922077775001526	0.01789623498916626	0	55	0	0	1	0	0.25	0.25	0	1003
0	0.4375	1	0.16198429465293884	0.2799821197986603	0.6623376607894897	0.011886036023497581	0.3333333432674408	62	1	1	1	0	0.75	0.75	0.800000011920929	1015
1	0.2968750298023224	0	0.08661750704050064	0.5362305641174316	0.5584415197372437	0.0034234628546983004	0.6666666865348816	56	1	0	1	0	0.5	0.25	0	1017
0	0.3046874403953552	0.75	0.18677714467048645	0.06411119550466537	0.6493505835533142	0.0025134568568319082	0.5	60	0	1	1	0	0.25	0.75	0.800000011920929	1019
	0.3046874403953552	0.625	0.18677714467048645	0.06411119550466537	0.6493505835533142	0.0025134568568319082	1	51	0	1	0	0	0.25	0.75	0.800000011920929	1019
1	0.3671874403953552	0	0.08237133920192719	0.5890659689903259	0.5064935088157654	0.0013257040409371257	0	73	0	0	1	0	0.25	0.5	0.800000011920929	1023
0	0.6875000596046448	0.875	0.04287436231970787	0.5737836360931396	0.5714285373687744	0.0025703387800604105	0.6666666865348816	38	1	1	0	0	0.25	0.75	0.800000011920929	1025
0	0.6171875	0.39081871509552	0.12650543451309204	0.2855100929737091	0.7012986540794373	0.0013069483684375882	0.3333333432674408	18	1	0	0	0	0.5	1	1	1041
0	0.4218749403953552	0.25	0.16372185945510864	0.012500300072133541	0.7922077775001526	0.00807259976863861	0.1666666716337204	40	0	1	1	0	0.25	0.5	0.6000000238418579	1043
	0.4531250298023224	0.5	0.12569095194339752	0.02192031592130661	0.714285671710968	0.007057644426822662	0.6666666865348816	35	1	1	0	0	1	0.75	1	1049
0	0.4531250298023224	0.375	0.12569095194339752	0.02192031592130661	0.714285671710968	0.007057644426822662	0.6666666865348816	51	0	1	0	0	0.75	0.5	0.4000000059604645	1049
	0.390625	0.5	0.14042766392230988	0.20624808967113495	0.6233766078948975	0.010545163415372372	0.3333333432674408	53	0	1	0	0	0.75	0.75	0.6000000238418579	1055
